163222	P324760	CUSAS 3 1002
163223	P324496	CUSAS 3 1026
163224	P325172	CUSAS 3 1031
163226	P324549	CUSAS 3 1033
163227	P322626	CUSAS 3 1251
163228	P322648	CUSAS 3 1034
163229	P324753	CUSAS 3 0416
163230	P324744	CUSAS 3 0439
163231	P324745	CUSAS 3 0440
163232	P324771	CUSAS 3 0441
163233	P324793	CUSAS 3 1007
163234	P324483	CUSAS 3 1017
163235	P324787	CUSAS 3 0493
163236	P324442	CUSAS 3 0435
163237	P324545	CUSAS 3 0501
163238	P324552	CUSAS 3 0523
163239	P324106	CUSAS 3 0957
163240	P324093	CUSAS 3 0837
163241	P324103	CUSAS 3 0954
163242	P325026	CUSAS 3 0961
163243	P324382	CUSAS 3 1161
163244	P322482	CUSAS 3 1189
163245	P324443	CUSAS 3 0405
163246	P329461	CUSAS 3 0392
163247	P324232	CUSAS 3 0554
163248	P324763	CUSAS 3 1250
163249	P324896	CUSAS 3 1249
163250	P323248	CUSAS 3 0216
163251	P325983	CUSAS 3 1495
163252	P322653	CUSAS 3 1035
163253	P329463	CUSAS 3 1252
163254	P323903	CUSAS 3 0560
163255	P324222	CUSAS 3 1121
163256	P323246	CUSAS 3 0558
163257	P322614	CUSAS 3 0992
163258	P322543	CUSAS 3 1068
163259	P329470	CUSAS 3 1069
163260	P324044	CUSAS 3 1077
163261	P324890	CUSAS 3 1079
163262	P324040	CUSAS 3 1086
163263	P324377	CUSAS 3 1088
163264	P324452	CUSAS 3 1089
163265	P324453	CUSAS 3 1090
163266	P324548	CUSAS 3 0998
163267	P324454	CUSAS 3 1093
163268	P324041	CUSAS 3 0999
163269	P324455	CUSAS 3 1101
163270	P324882	CUSAS 3 1103
163271	P324223	CUSAS 3 1122
163272	P323712	CUSAS 3 1128
163273	P322534	CUSAS 3 0879
163274	P324208	CUSAS 3 1132
163275	P324477	CUSAS 3 1135
163276	P324323	CUSAS 3 0452
163277	P324376	CUSAS 3 0453
163278	P324053	CUSAS 3 1137
163279	P324123	CUSAS 3 0653
163280	P323672	CUSAS 3 1147
163281	P322607	CUSAS 3 1144
163282	P323989	CUSAS 3 1082
163283	P324056	CUSAS 3 1151
163284	P324212	CUSAS 3 0464
163285	P324734	CUSAS 3 1153
163286	P322605	CUSAS 3 1085
163287	P322426	CUSAS 3 0486
163288	P323223	CUSAS 3 1166
163289	P324642	CUSAS 3 1164
163290	P324195	CUSAS 3 0498
163291	P324196	CUSAS 3 0499
163292	P324070	CUSAS 3 0503
163293	P325879	CUSAS 3 0504
163294	P324474	CUSAS 3 1182
163295	P325016	CUSAS 3 1186
163296	P324456	CUSAS 3 1195
163297	P324756	CUSAS 3 1197
163298	P324643	CUSAS 3 1200
163299	P324457	CUSAS 3 1202
163300	P324059	CUSAS 3 1204
163301	P324717	CUSAS 3 0950
163302	P323346	CUSAS 3 1209
163303	P323837	CUSAS 3 1213
163304	P325726	CUSAS 3 1029
163305	P324458	CUSAS 3 1222
163306	P324459	CUSAS 3 1225
163307	P324361	CUSAS 3 1248
163308	P324724	CUSAS 3 0542
163309	P323728	CUSAS 3 1232
163310	P323729	CUSAS 3 1233
163311	P323779	CUSAS 3 1234
